,Move,Type,Power,Accuracy,PP,Pokemon
0,Tackle,Normal,35,95,35,Bulbasaur
1,Growl,Normal,0,100,40,Bulbasaur
2,Leech Seed,Grass,0,90,10,Bulbasaur
3,Vine Whip,Grass,35,100,10,Bulbasaur
4,PoisonPowder,Poison,0,75,35,Bulbasaur
5,Razor Leaf,Grass,55,95,25,Bulbasaur
6,Growth,Normal,0,0,40,Bulbasaur
7,Sleep Powder,Grass,0,75,15,Bulbasaur
8,SolarBeam,Grass,120,100,10,Bulbasaur
9,Swords Dance,Normal,0,0,30,Bulbasaur
10,Toxic,Poison,0,85,10,Bulbasaur
11,Body Slam,Normal,85,100,15,Bulbasaur
12,Take Down,Normal,90,85,20,Bulbasaur
13,Double-Edge,Normal,100,100,15,Bulbasaur
14,Rage,Normal,20,100,20,Bulbasaur
15,Mega Drain,Grass,40,100,10,Bulbasaur
16,SolarBeam,Grass,120,100,10,Bulbasaur
17,Mimic,Normal,0,100,10,Bulbasaur
18,Double Team,Normal,0,0,15,Bulbasaur
19,Reflect,Psychic,0,0,20,Bulbasaur
20,Bide,Normal,0,0,10,Bulbasaur
21,Rest,Psychic,0,0,10,Bulbasaur
22,Substitute,Normal,0,0,10,Bulbasaur
23,Cut,Normal,50,95,30,Bulbasaur
24,Tackle,Normal,35,95,35,Ivysaur
25,Growl,Normal,0,100,40,Ivysaur
26,Leech Seed,Grass,0,90,10,Ivysaur
27,Leech Seed,Grass,0,90,10,Ivysaur
28,Vine Whip,Grass,35,100,10,Ivysaur
29,PoisonPowder,Poison,0,75,35,Ivysaur
30,Razor Leaf,Grass,55,95,25,Ivysaur
31,Growth,Normal,0,0,40,Ivysaur
32,Sleep Powder,Grass,0,75,15,Ivysaur
33,SolarBeam,Grass,120,100,10,Ivysaur
34,Swords Dance,Normal,0,0,30,Ivysaur
35,Toxic,Poison,0,85,10,Ivysaur
36,Body Slam,Normal,85,100,15,Ivysaur
37,Take Down,Normal,90,85,20,Ivysaur
38,Double-Edge,Normal,100,100,15,Ivysaur
39,Rage,Normal,20,100,20,Ivysaur
40,Mega Drain,Grass,40,100,10,Ivysaur
41,SolarBeam,Grass,120,100,10,Ivysaur
42,Mimic,Normal,0,100,10,Ivysaur
43,Double Team,Normal,0,0,15,Ivysaur
44,Reflect,Psychic,0,0,20,Ivysaur
45,Bide,Normal,0,0,10,Ivysaur
46,Rest,Psychic,0,0,10,Ivysaur
47,Substitute,Normal,0,0,10,Ivysaur
48,Cut,Normal,50,95,30,Ivysaur
49,Tackle,Normal,35,95,35,Venusaur
50,Growl,Normal,0,100,40,Venusaur
51,Leech Seed,Grass,0,90,10,Venusaur
52,Vine Whip,Grass,35,100,10,Venusaur
53,Leech Seed,Grass,0,90,10,Venusaur
54,Vine Whip,Grass,35,100,10,Venusaur
55,PoisonPowder,Poison,0,75,35,Venusaur
56,Razor Leaf,Grass,55,95,25,Venusaur
57,Growth,Normal,0,0,40,Venusaur
58,Sleep Powder,Grass,0,75,15,Venusaur
59,SolarBeam,Grass,120,100,10,Venusaur
60,Swords Dance,Normal,0,0,30,Venusaur
61,Toxic,Poison,0,85,10,Venusaur
62,Body Slam,Normal,85,100,15,Venusaur
63,Take Down,Normal,90,85,20,Venusaur
64,Double-Edge,Normal,100,100,15,Venusaur
65,Hyper Beam,Normal,150,90,5,Venusaur
66,Rage,Normal,20,100,20,Venusaur
67,Mega Drain,Grass,40,100,10,Venusaur
68,SolarBeam,Grass,120,100,10,Venusaur
69,Mimic,Normal,0,100,10,Venusaur
70,Double Team,Normal,0,0,15,Venusaur
71,Reflect,Psychic,0,0,20,Venusaur
72,Bide,Normal,0,0,10,Venusaur
73,Rest,Psychic,0,0,10,Venusaur
74,Substitute,Normal,0,0,10,Venusaur
75,Cut,Normal,50,95,30,Venusaur
76,Scratch,Normal,40,100,35,Charmander
77,Growl,Normal,0,100,40,Charmander
78,Ember,Fire,40,100,25,Charmander
79,Leer,Normal,0,100,30,Charmander
80,Rage,Normal,20,100,20,Charmander
81,Slash,Normal,70,100,20,Charmander
82,Flamethrower,Fire,95,100,15,Charmander
83,Fire Spin,Fire,15,70,15,Charmander
84,Mega Punch,Normal,80,85,20,Charmander
85,Swords Dance,Normal,0,0,30,Charmander
86,Mega Kick,Normal,120,75,5,Charmander
87,Toxic,Poison,0,85,10,Charmander
88,Body Slam,Normal,85,100,15,Charmander
89,Take Down,Normal,90,85,20,Charmander
90,Double-Edge,Normal,100,100,15,Charmander
91,Submission,Fighting,80,80,25,Charmander
92,Counter,Fighting,0,100,20,Charmander
93,Seismic Toss,Fighting,0,100,20,Charmander
94,Rage,Normal,20,100,20,Charmander
95,Dragon Rage,Dragon,0,100,10,Charmander
96,Dig,Ground,100,100,10,Charmander
97,Mimic,Normal,0,100,10,Charmander
98,Double Team,Normal,0,0,15,Charmander
99,Reflect,Psychic,0,0,20,Charmander
100,Bide,Normal,0,0,10,Charmander
101,Fire Blast,Fire,120,85,5,Charmander
102,Swift,Normal,60,0,20,Charmander
103,Skull Bash,Normal,100,100,15,Charmander
104,Rest,Psychic,0,0,10,Charmander
105,Substitute,Normal,0,0,10,Charmander
106,Cut,Normal,50,95,30,Charmander
107,Strength,Normal,80,100,15,Charmander
108,Scratch,Normal,40,100,35,Charmeleon
109,Growl,Normal,0,100,40,Charmeleon
110,Ember,Fire,40,100,25,Charmeleon
111,Ember,Fire,40,100,25,Charmeleon
112,Leer,Normal,0,100,30,Charmeleon
113,Rage,Normal,20,100,20,Charmeleon
114,Slash,Normal,70,100,20,Charmeleon
115,Flamethrower,Fire,95,100,15,Charmeleon
116,Fire Spin,Fire,15,70,15,Charmeleon
117,Mega Punch,Normal,80,85,20,Charmeleon
118,Swords Dance,Normal,0,0,30,Charmeleon
119,Mega Kick,Normal,120,75,5,Charmeleon
120,Toxic,Poison,0,85,10,Charmeleon
121,Body Slam,Normal,85,100,15,Charmeleon
122,Take Down,Normal,90,85,20,Charmeleon
123,Double-Edge,Normal,100,100,15,Charmeleon
124,Submission,Fighting,80,80,25,Charmeleon
125,Counter,Fighting,0,100,20,Charmeleon
126,Seismic Toss,Fighting,0,100,20,Charmeleon
127,Rage,Normal,20,100,20,Charmeleon
128,Dragon Rage,Dragon,0,100,10,Charmeleon
129,Dig,Ground,100,100,10,Charmeleon
130,Mimic,Normal,0,100,10,Charmeleon
131,Double Team,Normal,0,0,15,Charmeleon
132,Reflect,Psychic,0,0,20,Charmeleon
133,Bide,Normal,0,0,10,Charmeleon
